Feature,Description,Category
f_01_past_tense,"Past tense","Tense and aspect markers"
f_02_perfect_aspect,"Perfect aspect","Tense and aspect markers"
f_03_present_tense,"Present tense","Tense and aspect markers"
f_04_place_adverbials,"Place adverbials (e.g., above, beside, outdoors)","Place and time adverbials"
f_05_time_adverbials,"Time adverbials (e.g., early, instantly, soon)","Place and time adverbials"
f_06_first_person_pronouns,"First-person pronouns","Pronouns and pro-verbs"
f_07_second_person_pronouns,"Second-person pronouns","Pronouns and pro-verbs"
f_08_third_person_pronouns,"Third-person personal pronouns (excluding it)","Pronouns and pro-verbs"
f_09_pronoun_it,"Pronoun it","Pronouns and pro-verbs"
f_10_demonstrative_pronoun,"Demonstrative pronouns (that, this, these, those as pronouns)","Pronouns and pro-verbs"
f_11_indefinite_pronouns,"Indefinite pronounes (e.g., anybody, nothing, someone)","Pronouns and pro-verbs"
f_12_proverb_do,"Pro-verb do","Pronouns and pro-verbs"
f_13_wh_question,"Direct wh-questions","Questions"
f_14_nominalizations,"Nominalizations (ending in -tion, -ment, -ness, -ity)","Nominal forms"
f_15_gerunds,"Gerunds (participial forms functioning as nouns)","Nominal forms"
f_16_other_nouns,"Total other nouns","Nominal forms"
f_17_agentless_passives,"Agentless passives","Passives"
f_18_by_passives,"by-passives","Passives"
f_19_be_main_verb,"be as main verb","Stative forms"
f_20_existential_there,"Existential there","Stative forms"
f_21_that_verb_comp,"that verb complements (e.g., I said [that he went].)","Subordination features"
f_22_that_adj_comp,"that adjective complements (e.g., I’m glad [that you like it].)","Subordination features"
f_23_wh_clause,"wh-clauses (e.g., I believed [what he told me].)","Subordination features"
f_24_infinitives,"Infinitives","Subordination features"
f_25_present_participle,"Present participial adverbial clauses (e.g., [Stuffing his mouth with cookies], Joe ran out the door.)","Subordination features"
f_26_past_participle,"Past participial adverbial clauses (e.g., [Built in a single week], the house would stand for fifty years.)","Subordination features"
f_27_past_participle_whiz,"Past participial postnominal (reduced relative) clauses (e.g., the solution [produced by this process])","Subordination features"
f_28_present_participle_whiz,"Present participial postnominal (reduced relative) clauses (e.g., the event [causing this decline[)","Subordination features"
f_29_that_subj,"that relative clauses on subject position (e.g., the dog [that bit me])","Subordination features"
f_30_that_obj,"that relative clauses on object position (e.g., the dog [that I saw])","Subordination features"
f_31_wh_subj,"wh- relatives on subject position (e.g., the man [who likes popcorn])","Subordination features"
f_32_wh_obj,"wh- relatives on object position (e.g., the man [who Sally likes])","Subordination features"
f_33_pied_piping,"Pied-piping relative clauses (e.g., the manner [in which he was told])","Subordination features"
f_34_sentence_relatives,"Sentence relatives (e.g., Bob likes fried mangoes, [which is the most disgusting thing I’ve ever heard of].)","Subordination features"
f_35_because,"Causative adverbial subordinator (because)","Subordination features"
f_36_though,"Concessive adverbial subordinators (although, though)","Subordination features"
f_37_if,"Conditional adverbial subordinators (if, unless)","Subordination features"
f_38_other_adv_sub,"Other adverbial subordinators (e.g., since, while, whereas)","Subordination features"
f_39_prepositions,"Total prepositional phrases","Prepositional phrases, adjectives and adverbs"
f_40_adj_attr,"Attributive adjectives (e.g., the [big] horse)","Prepositional phrases, adjectives and adverbs"
f_41_adj_pred,"Predicative adjectives (e.g., The horse is [big].)","Prepositional phrases, adjectives and adverbs"
f_42_adverbs,"Total adverbs","Prepositional phrases, adjectives and adverbs"
f_43_type_token,"Type-token ratio (including punctuation)","Lexical specificity"
f_44_mean_word_length,"Average word length (across tokens, excluding punctuation)","Lexical specificity"
f_45_conjuncts,"Conjuncts (e.g., consequently, furthermore, however)","Lexical classes"
f_46_downtoners,"Downtoners (e.g., barely, nearly, slightly)","Lexical classes"
f_47_hedges,"Hedges (e.g., at about, something like, almost)","Lexical classes"
f_48_amplifiers,"Amplifiers (e.g., absolutely, extremely, perfectly)","Lexical classes"
f_49_emphatics,"Emphatics (e.g., a lot, for sure, really)","Lexical classes"
f_50_discourse_particles,"Discourse particles (e.g., sentence-initial well, now, anyway)","Lexical classes"
f_51_demonstratives,"Demonstratives","Lexical classes"
f_52_modal_possibility,"Possibility modals (can, may, might, could)","Modals"
f_53_modal_necessity,"Necessity modals (ought, should, must)","Modals"
f_54_modal_predictive,"Predictive modals (will, would, shall)","Modals"
f_55_verb_public,"Public verbs (e.g., assert, declare, mention)","Specialized verb classes"
f_56_verb_private,"Private verbs (e.g., assume, believe, doubt, know)","Specialized verb classes"
f_57_verb_suasive,"Suasive verbs (e.g., command, insist, propose)","Specialized verb classes"
f_58_verb_seem,"seem and appear","Specialized verb classes"
f_59_contractions,"Contractions","Reduced forms and dispreferred structures"
f_60_that_deletion,"Subordinator that deletion (e.g., I think [he went].)","Reduced forms and dispreferred structures"
f_61_stranded_preposition,"Stranded prepositions (e.g., the candidate that I was thinking [of])","Reduced forms and dispreferred structures"
f_62_split_infinitive,"Split infinitives (e.g., He wants [to convincingly prove] that …)","Reduced forms and dispreferred structures"
f_63_split_auxiliary,"Split auxiliaries (e.g., They [were apparently shown] to …)","Reduced forms and dispreferred structures"
f_64_phrasal_coordination,"Phrasal co-ordination (N and N; Adj and Adj; V and V; Adv and Adv)","Co-ordination"
f_65_clausal_coordination,"Independent clause co-ordination (clause-initial and)","Co-ordination"
f_66_neg_synthetic,"Synthetic negation (e.g., No answer is good enough for Jones.)","Negation"
f_67_neg_analytic,"Analytic negation (e.g., That isn’t good enough.)","Negation"
